Feature,Importance
10_flips_x,8
39_movement_duration,8
26_flips_x,8
42_jerk_mean,8
37_acceleration_min,8
37_acceleration_mean,8
26_acceleration_min,8
17_movement_duration,8
20_acceleration_max,8
7_movement_duration,8
40_movement_distance,8
43_pause_time,8
10_acceleration_min,8
47_click_x_mean,8
10_acceleration_max,8
4_velocity_max,8
44_num_moves,8
4_acceleration_max,8
42_acceleration_min,8
23_movement_duration,8
23_jerk_sd,8
33_angular_velocity_mean,8
43_acceleration_mean,8
33_pause_time,8
16_movement_distance,8
41_movement_duration,8
13_jerk_mean,8
21_pause_time,8
23_click_x_mean,8
44_jerk_mean,8
47_flips_y,8
16_velocity_min,8
34_acceleration_max,8
34_acceleration_min,8
48_movement_distance,8
19_jerk_sd,8
34_jerk_mean,8
22_jerk_mean,8
16_acceleration_max,8
43_jerk_sd,8
35_jerk_sd,8
8_acceleration_min,8
33_acceleration_max,8
20_num_moves,8
32_total_time,8
41_velocity_max,8
12_acceleration_max,8
0_acceleration_max,8
7_movement_distance,8
35_pause_time,7
10_movement_duration,7
46_velocity_mean,7
46_velocity_max,7
36_velocity_sd,7
39_click_x_mean,7
37_jerk_sd,7
17_flips_x,7
35_acceleration_mean,7
42_velocity_sd,7
30_acceleration_max,7
16_acceleration_min,7
3_angular_velocity_mean,7
37_angular_velocity_mean,7
9_jerk_sd,7
8_movement_duration,7
43_angular_velocity_sd,7
27_pause_time,7
35_movement_distance,7
49_flips_y,7
32_acceleration_mean,7
44_velocity_sd,7
34_acceleration_mean,7
17_pause_time,7
11_velocity_sd,7
32_acceleration_max,7
33_velocity_mean,7
38_velocity_max,7
8_velocity_y_mean,7
43_flips_x,7
10_velocity_mean,7
10_acceleration_mean,7
45_movement_duration,7
3_velocity_mean,7
7_velocity_mean,7
45_pause_time,7
31_velocity_sd,7
43_acceleration_sd,7
42_acceleration_mean,7
3_angular_velocity_sd,7
9_click_x_mean,7
39_jerk_sd,7
9_velocity_y_mean,7
37_velocity_mean,7
29_acceleration_mean,7
38_flips_x,7
45_click_x_mean,7
36_movement_distance,7
7_jerk_mean,7
36_velocity_mean,7
39_velocity_mean,7
42_velocity_y_mean,7
14_movement_duration,7
48_acceleration_mean,7
25_angular_velocity_mean,7
48_velocity_sd,7
13_acceleration_max,7
46_flips_x,7
18_velocity_y_mean,7
0_flips_y,7
11_angular_velocity_sd,7
11_movement_duration,7
26_acceleration_max,7
13_click_x_mean,7
4_flips_x,7
19_velocity_sd,7
41_pause_time,7
12_jerk_sd,7
40_movement_duration,7
14_jerk_mean,7
26_movement_distance,7
13_jerk_sd,7
23_acceleration_max,7
20_jerk_mean,7
43_movement_distance,7
14_velocity_min,7
41_acceleration_max,7
11_acceleration_max,7
20_velocity_max,7
25_acceleration_min,7
1_velocity_max,7
25_velocity_max,7
9_flips_y,6
12_jerk_mean,6
31_pause_time,6
47_velocity_sd,6
15_acceleration_min,6
3_velocity_max,6
45_angular_velocity_mean,6
31_click_x_mean,6
24_velocity_mean,6
9_flips_x,6
24_velocity_max,6
18_flips_y,6
32_movement_duration,6
31_acceleration_sd,6
24_acceleration_min,6
32_jerk_mean,6
32_velocity_y_mean,6
32_velocity_sd,6
15_velocity_sd,6
40_total_time,6
31_jerk_sd,6
47_acceleration_max,6
24_flips_y,6
17_velocity_max,6
24_flips_x,6
27_jerk_mean,6
4_acceleration_min,6
13_acceleration_sd,6
21_angular_velocity_mean,6
41_jerk_sd,6
19_pause_time,6
1_acceleration_sd,6
1_acceleration_max,6
1_click_x_mean,6
7_flips_x,6
37_click_x_mean,6
20_acceleration_mean,6
7_acceleration_sd,6
20_velocity_sd,6
41_acceleration_min,6
37_pause_time,6
37_flips_x,6
14_velocity_y_mean,6
21_movement_duration,6
16_velocity_sd,6
16_total_time,6
35_angular_velocity_mean,6
16_movement_duration,6
23_velocity_max,6
23_movement_distance,6
4_acceleration_mean,6
4_flips_y,6
45_angular_velocity_sd,6
34_movement_duration,6
22_acceleration_min,6
22_acceleration_mean,6
13_velocity_max,6
8_jerk_mean,6
41_movement_distance,6
35_velocity_x_mean,6
13_velocity_sd,6
19_acceleration_min,6
19_velocity_x_mean,6
3_click_x_mean,6
0_flips_x,6
25_flips_y,6
46_movement_distance,6
26_num_moves,6
17_acceleration_min,6
2_flips_x,6
29_acceleration_max,6
30_acceleration_min,6
30_movement_distance,6
2_acceleration_min,6
45_flips_x,6
18_movement_distance,6
6_velocity_sd,6
26_acceleration_mean,6
46_num_moves,6
26_velocity_max,6
17_acceleration_mean,6
28_acceleration_mean,6
15_click_x_mean,6
29_angular_velocity_sd,6
28_acceleration_max,6
49_acceleration_max,6
25_angular_velocity_sd,6
36_movement_duration,5
13_flips_x,5
34_movement_distance,5
47_flips_x,5
18_velocity_mean,5
34_acceleration_sd,5
15_acceleration_sd,5
26_velocity_y_mean,5
26_velocity_sd,5
23_velocity_sd,5
23_velocity_x_mean,5
26_velocity_mean,5
26_click_x_mean,5
7_flips_y,5
42_flips_y,5
4_velocity_mean,5
22_acceleration_sd,5
29_velocity_max,5
18_movement_duration,5
28_acceleration_sd,5
35_flips_y,5
19_angular_velocity_mean,5
28_jerk_mean,5
46_velocity_sd,5
6_acceleration_max,5
5_acceleration_sd,5
22_velocity_mean,5
5_velocity_sd,5
5_velocity_max,5
11_angular_velocity_mean,5
38_acceleration_sd,5
35_velocity_mean,5
35_click_x_mean,5
16_velocity_y_mean,5
8_velocity_mean,5
39_flips_x,5
38_jerk_mean,5
44_acceleration_min,5
1_movement_distance,5
36_acceleration_mean,5
8_flips_x,5
9_velocity_mean,5
22_jerk_sd,5
8_flips_y,5
1_angular_velocity_mean,5
29_pause_time,5
16_flips_x,5
2_velocity_max,5
1_velocity_mean,5
39_velocity_max,5
12_velocity_max,5
17_acceleration_sd,5
45_velocity_sd,5
10_velocity_sd,5
3_acceleration_sd,5
42_angular_velocity_sd,5
37_movement_duration,5
2_velocity_y_mean,5
31_movement_duration,5
42_velocity_mean,5
20_velocity_y_mean,5
7_velocity_max,5
10_velocity_max,5
20_velocity_mean,5
14_velocity_max,5
46_movement_duration,5
31_velocity_max,5
6_flips_x,5
42_movement_distance,5
27_angular_velocity_sd,5
10_movement_distance,5
30_flips_x,5
37_acceleration_max,5
39_flips_y,5
16_velocity_max,5
15_flips_x,5
49_velocity_max,5
45_velocity_mean,5
37_velocity_max,5
24_acceleration_max,5
41_flips_x,5
18_acceleration_max,5
43_click_x_mean,5
33_movement_distance,5
24_jerk_mean,5
41_acceleration_sd,5
0_pause_time,5
29_flips_x,5
45_flips_y,5
14_velocity_sd,4
27_velocity_mean,4
8_velocity_sd,4
15_angular_velocity_mean,4
11_jerk_mean,4
20_flips_x,4
28_velocity_mean,4
36_flips_y,4
21_acceleration_max,4
0_jerk_sd,4
38_velocity_sd,4
11_click_x_mean,4
15_movement_duration,4
8_num_moves,4
46_acceleration_sd,4
21_velocity_max,4
36_acceleration_min,4
38_velocity_mean,4
7_angular_velocity_mean,4
20_acceleration_min,4
43_velocity_max,4
19_flips_x,4
27_flips_y,4
7_acceleration_max,4
20_acceleration_sd,4
13_movement_duration,4
27_velocity_max,4
13_angular_velocity_mean,4
30_flips_y,4
19_jerk_mean,4
8_acceleration_max,4
4_movement_duration,4
12_acceleration_sd,4
11_velocity_max,4
32_flips_x,4
39_movement_distance,4
18_acceleration_min,4
32_acceleration_min,4
12_velocity_y_mean,4
40_acceleration_min,4
24_movement_duration,4
42_jerk_sd,4
41_flips_y,4
32_velocity_mean,4
9_movement_duration,4
17_velocity_mean,4
31_flips_y,4
31_flips_x,4
31_angular_velocity_mean,4
30_acceleration_sd,4
31_acceleration_max,4
25_acceleration_max,4
25_velocity_mean,4
45_acceleration_max,4
31_movement_distance,4
18_jerk_sd,4
5_movement_distance,4
9_velocity_max,4
33_acceleration_sd,4
22_flips_x,4
28_jerk_sd,4
38_acceleration_min,4
28_movement_duration,4
26_movement_duration,4
8_jerk_sd,4
19_acceleration_max,4
13_velocity_mean,4
7_click_x_mean,4
26_acceleration_sd,4
40_velocity_mean,4
29_velocity_mean,4
16_acceleration_sd,4
16_jerk_sd,4
34_velocity_mean,4
29_velocity_sd,4
3_flips_x,4
39_angular_velocity_mean,4
19_movement_distance,4
15_movement_distance,4
24_velocity_sd,4
42_movement_duration,3
5_flips_x,3
38_movement_duration,3
42_acceleration_sd,3
6_velocity_mean,3
43_velocity_mean,3
41_velocity_mean,3
6_hold_time_mean,3
15_flips_y,3
47_acceleration_sd,3
10_acceleration_sd,3
12_movement_distance,3
14_acceleration_sd,3
19_velocity_mean,3
19_velocity_max,3
23_flips_x,3
19_movement_duration,3
48_hold_time_mean,3
14_velocity_mean,3
29_flips_y,3
25_movement_distance,3
20_jerk_sd,3
48_acceleration_sd,3
18_acceleration_sd,3
29_movement_distance,3
28_flips_y,3
2_hold_time_mean,3
21_movement_distance,3
21_velocity_mean,3
22_velocity_sd,3
27_velocity_sd,3
27_movement_distance,3
13_movement_distance,3
12_flips_y,3
46_flips_y,3
18_flips_x,3
18_jerk_mean,3
15_velocity_max,3
33_velocity_max,3
24_acceleration_sd,3
36_hold_time_mean,3
16_hold_time_mean,3
36_jerk_sd,3
36_acceleration_sd,3
4_movement_distance,3
44_movement_distance,3
44_velocity_mean,3
35_acceleration_sd,3
17_click_x_mean,3
12_movement_duration,3
22_flips_y,3
34_flips_x,3
0_acceleration_sd,3
23_angular_velocity_mean,3
8_hold_time_mean,3
23_acceleration_sd,3
17_flips_y,3
14_flips_y,3
14_flips_x,3
33_flips_x,3
9_movement_distance,3
33_movement_duration,3
40_flips_y,2
40_hold_time_mean,2
5_flips_y,2
1_flips_y,2
37_flips_y,2
41_click_x_mean,2
13_acceleration_min,2
48_acceleration_min,2
14_movement_distance,2
14_jerk_sd,2
18_velocity_sd,2
5_velocity_mean,2
17_angular_velocity_mean,2
17_movement_distance,2
16_flips_y,2
19_acceleration_sd,2
25_acceleration_sd,2
23_flips_y,2
33_flips_y,2
12_velocity_sd,2
45_acceleration_sd,2
31_velocity_mean,2
9_angular_velocity_mean,2
6_flips_y,2
32_movement_distance,2
32_acceleration_sd,2
9_acceleration_sd,2
4_acceleration_sd,2
38_flips_y,2
39_acceleration_sd,2
3_flips_y,2
44_movement_duration,2
44_jerk_sd,2
34_jerk_sd,2
44_acceleration_sd,2
34_hold_time_mean,2
35_velocity_max,2
43_flips_y,2
37_acceleration_sd,2
30_movement_duration,2
6_jerk_sd,2
11_flips_x,2
26_hold_time_mean,2
24_hold_time_mean,2
12_velocity_mean,2
38_movement_distance,2
47_velocity_max,2
47_num_clicks,2
2_acceleration_sd,2
26_flips_y,2
10_jerk_sd,2
27_movement_duration,2
46_jerk_sd,2
28_velocity_sd,2
28_flips_x,2
29_acceleration_sd,2
0_hold_time_mean,1
45_velocity_max,1
48_jerk_sd,1
44_flips_y,1
2_jerk_sd,1
48_num_clicks,1
42_flips_x,1
1_hold_time_mean,1
4_jerk_sd,1
1_num_clicks,1
46_num_clicks,1
32_hold_time_mean,1
28_num_clicks,1
30_hold_time_mean,1
32_jerk_sd,1
35_num_clicks,1
21_flips_y,1
8_acceleration_sd,1
38_hold_time_mean,1
30_jerk_sd,1
25_flips_x,1
38_jerk_sd,1
21_flips_x,1
18_hold_time_mean,1
21_velocity_sd,1
13_flips_y,1
36_num_clicks,1
14_num_clicks,1
0_num_clicks,1
8_num_clicks,1
20_flips_y,1
20_hold_time_mean,1
32_flips_y,1
11_movement_distance,1
15_velocity_mean,1
40_num_clicks,1
23_num_clicks,1
23_velocity_mean,1
27_flips_x,1
16_num_clicks,1
16_velocity_mean,1
27_acceleration_sd,1
10_flips_y,1
24_jerk_sd,1
26_jerk_sd,1
34_velocity_sd,1
40_jerk_sd,1
29_movement_duration,1
14_hold_time_mean,1
34_flips_y,1
23_pause_count,0
23_hold_time_mean,0
1_hold_time_sd,0
2_num_clicks,0
12_pause_count,0
23_hold_time_sd,0
24_num_clicks,0
11_hold_time_mean,0
24_pause_count,0
24_hold_time_sd,0
27_hold_time_sd,0
27_hold_time_mean,0
27_pause_count,0
27_num_clicks,0
26_hold_time_sd,0
26_pause_count,0
46_pause_count,0
46_hold_time_mean,0
46_hold_time_sd,0
11_flips_y,0
11_pause_count,0
26_num_clicks,0
25_hold_time_sd,0
25_hold_time_mean,0
25_pause_count,0
47_pause_count,0
11_hold_time_sd,0
12_num_clicks,0
25_num_clicks,0
12_hold_time_mean,0
4_hold_time_sd,0
47_hold_time_mean,0
49_num_clicks,0
0_hold_time_sd,0
19_num_clicks,0
0_pause_count,0
18_hold_time_sd,0
18_pause_count,0
14_pause_count,0
14_hold_time_sd,0
18_num_clicks,0
15_num_clicks,0
17_hold_time_sd,0
17_hold_time_mean,0
17_pause_count,0
17_num_clicks,0
16_hold_time_sd,0
16_pause_count,0
15_hold_time_sd,0
15_hold_time_mean,0
49_pause_count,0
49_hold_time_mean,0
19_flips_y,0
19_pause_count,0
47_hold_time_sd,0
48_hold_time_sd,0
1_pause_count,0
22_hold_time_sd,0
22_hold_time_mean,0
22_pause_count,0
12_hold_time_sd,0
13_num_clicks,0
22_num_clicks,0
21_hold_time_mean,0
21_pause_count,0
21_num_clicks,0
13_pause_count,0
20_hold_time_sd,0
20_pause_count,0
13_hold_time_mean,0
13_hold_time_sd,0
20_num_clicks,0
19_hold_time_sd,0
48_pause_count,0
19_hold_time_mean,0
21_hold_time_sd,0
28_hold_time_mean,0
11_num_clicks,0
10_hold_time_sd,0
38_hold_time_sd,0
38_pause_count,0
7_num_clicks,0
38_num_clicks,0
37_hold_time_sd,0
37_hold_time_mean,0
37_pause_count,0
37_num_clicks,0
36_hold_time_sd,0
36_pause_count,0
43_pause_count,0
43_hold_time_mean,0
43_hold_time_sd,0
7_pause_count,0
44_num_clicks,0
7_hold_time_mean,0
7_hold_time_sd,0
35_hold_time_sd,0
35_hold_time_mean,0
35_pause_count,0
4_num_clicks,0
6_hold_time_sd,0
39_num_clicks,0
6_pause_count,0
5_pause_count,0
42_num_clicks,0
41_hold_time_sd,0
41_hold_time_mean,0
4_hold_time_mean,0
41_pause_count,0
41_num_clicks,0
4_pause_count,0
40_hold_time_sd,0
40_pause_count,0
42_pause_count,0
39_pause_count,0
42_hold_time_mean,0
42_hold_time_sd,0
5_hold_time_mean,0
43_num_clicks,0
40_acceleration_sd,0
5_hold_time_sd,0
6_num_clicks,0
39_hold_time_sd,0
39_hold_time_mean,0
34_hold_time_sd,0
3_hold_time_sd,0
34_pause_count,0
45_hold_time_sd,0
31_num_clicks,0
10_num_clicks,0
30_hold_time_sd,0
30_pause_count,0
30_num_clicks,0
29_hold_time_sd,0
29_hold_time_mean,0
45_pause_count,0
45_hold_time_mean,0
29_pause_count,0
9_hold_time_mean,0
29_num_clicks,0
3_num_clicks,0
2_hold_time_sd,0
28_hold_time_sd,0
5_num_clicks,0
28_pause_count,0
10_pause_count,0
2_pause_count,0
10_hold_time_mean,0
9_hold_time_sd,0
9_pause_count,0
8_pause_count,0
44_hold_time_sd,0
3_hold_time_mean,0
8_hold_time_sd,0
9_num_clicks,0
3_pause_count,0
34_num_clicks,0
33_hold_time_sd,0
33_hold_time_mean,0
44_pause_count,0
44_hold_time_mean,0
33_pause_count,0
31_pause_count,0
45_num_clicks,0
33_click_x_mean,0
33_num_clicks,0
32_hold_time_sd,0
15_pause_count,0
32_pause_count,0
32_num_clicks,0
31_hold_time_sd,0
31_hold_time_mean,0
49_hold_time_sd,0
